-379,144,12
-385,130,-4
-379,134,3
-360,125,1
-384,137,-4
-389,135,6
-382,133,-1
-388,131,6
-367,134,-4
-390,137,0
-380,115,-1
-377,125,4
-380,124,5
-379,132,-8
-376,145,-5
-391,130,-5
-378,145,-5
-376,132,-1
-386,137,-9
-394,137,7
-377,133,-6
-382,143,8
-391,141,-1
-363,146,-7
-394,150,-5
-398,146,-8
-369,132,0
-408,130,8
-372,132,10
-380,127,-7
-377,144,1
-365,142,-8
-377,143,2
-366,135,0
-382,144,1
-377,134,3
-384,128,-10
-396,122,4
-373,132,-7
-363,143,-2
-364,148,0
-364,134,11
-383,136,-3
-381,133,-8
-386,132,-2
-378,146,3
-380,133,-9
-365,136,6
-379,140,-5
-387,138,-12
-372,138,-11
-372,131,-7
-377,144,-3
-364,129,-4
-382,130,20
-385,147,-6
-364,138,6
-371,139,0
-373,139,-6
-371,132,-6
-371,127,-6
-374,132,5
-377,146,1
-379,135,0
-385,138,1
-381,132,-1
-389,131,0
-385,131,9
-357,141,-9
-383,136,-7
-386,140,1
-372,129,-6
-373,130,-2
-380,134,-13
-392,129,-3
-375,139,1
-373,133,3
-373,131,0
-359,140,6
-379,130,-15
-382,136,-13
-367,140,12
-375,137,-6
-388,128,-3
-395,137,-14
-381,132,6
-387,131,5
-399,136,10
-393,143,6
-392,139,2
-373,143,-2
-388,136,3
-373,125,-4
-394,130,0
-391,142,-15
-401,145,-4
-411,149,8
-392,138,-18
-378,137,0
-375,138,-6
-382,132,3
-391,137,9
-391,138,-1
-388,160,-8
-388,144,-2
-414,152,-2
-385,135,-9
-369,134,2
-370,140,-4
-373,138,-3
-360,127,4
-365,117,1
-384,146,-2
-396,131,2
-391,139,8
-387,137,3
-382,139,11
-383,134,7
-376,138,-4
-385,138,4
-386,138,7
-379,131,-1
-406,126,-6
-379,139,6
-368,135,0
-371,127,-3
-392,137,-4
-388,133,-12
-395,140,5
-376,127,10
-374,151,-4
-377,131,14
-383,129,7
-392,130,18
-394,143,0
-382,136,-6
-388,135,-2
-361,142,1
-382,139,-4
-390,135,8
-381,136,4
-401,149,-13
-394,136,7
-383,142,14
-392,127,5
-376,137,10
-381,135,4
-381,128,1
-374,135,11
-370,134,5
-373,135,3
-370,132,-5
-377,143,-3
-384,144,-2
-385,143,-21
-391,131,9
-383,136,4
-394,138,2
-406,142,-1
-449,142,7
-499,160,-9
-519,178,16
-462,152,-7
-471,162,0
-467,144,5
-456,151,9
-528,156,15
-475,154,8
-473,169,15
-464,151,16
-496,167,19
-516,161,20
-508,186,27
-449,257,28
-403,310,31
-361,334,5
-401,347,1
-351,378,-18
-243,418,-41
-226,466,-153
-299,476,-387
-310,452,-377
-324,420,-320
-370,396,-231
-422,486,-306
-442,539,-446
-503,738,-945
-621,1258,-793
-590,1951,-643
-585,2866,-666
-640,3451,-580
-686,3815,-541
-703,4262,-868
-577,4373,-1033
-596,4229,-880
-750,4277,-565
-765,4594,-346
-670,4851,-243
-482,5479,-235
-444,5947,-181
-475,6258,-32
-374,6417,17
-270,6297,17
-178,6200,4
-155,6210,64
-223,6260,135
-222,6472,348
-475,6965,485
-548,7414,652
-380,7340,754
-302,7254,685
-169,7661,514
-133,8134,284
-126,8515,200
-28,8504,148
15,8276,62
-128,7779,-21
-164,7605,-58
-91,7879,-166
-99,8032,-149
-198,7613,-70
-242,7265,-39
-239,7387,-78
-249,7499,-65
-248,7506,-7
-339,7545,25
-440,7544,193
-561,7769,428
-598,8198,427
-828,8232,525
-1018,8075,723
-1040,8281,750
-1054,8458,770
-908,8680,482
-631,8904,253
-590,8916,137
-614,8521,179
-611,8297,140
-603,7758,145
-301,7957,-141
-259,7540,-171
-243,6968,-174
-161,6360,-22
-392,6352,-145
-344,6282,-123
-554,5951,25
-539,6474,-64
-916,6050,129
-1626,6009,679
-1903,5881,636
-1970,5263,726
-2126,5379,670
-1706,6070,591
-626,6454,56
-421,6215,-42
-450,6053,-23
-1042,6060,236
-819,5527,159
-1067,5299,223
-1291,5094,285
-1737,4834,366
-1324,4845,222
-978,4853,86
-710,4764,-9
-204,4768,-81
-201,4671,-49
-190,4515,-53
-158,4305,-95
-33,4505,-143
-20,4564,-135
-37,4385,-53
-191,3727,-50
391,3460,-92
-64,2849,-45
38,2570,-165
317,2077,-129
422,2138,-126
146,2157,-62
-256,1815,-7
-765,1731,51
-1042,1825,73
-1282,1968,87
-1087,1819,100
-1078,1582,79
-1464,1492,131
-1491,1568,134
-2200,1955,196
-2869,2300,224
-2710,2552,214
-1400,1990,92
-746,1856,17
-377,1692,-9
-225,1873,-34
220,2097,-57
72,1963,-33
-283,1429,-12
-449,1212,5
-449,1172,-11
-460,1228,6
-450,1152,17
-392,1045,4
-380,1014,1
-381,987,18
-400,919,-1
-333,874,4
-395,820,8
-454,926,5
-1182,1076,39
-1084,1039,28
-1151,944,8
-546,820,2
-536,877,12
-570,986,8
-533,998,5
-701,1029,15
-433,1225,10
-194,1084,9
-316,836,5
-317,542,-22
-322,444,-20
-301,407,-10
-348,348,-12
-386,264,-28
-376,122,-11
-387,27,4
-414,-106,35
-467,-264,40
-457,-306,40
-433,-401,7
-429,-493,8
-573,-540,-7
-689,-757,13
-683,-915,11
-654,-1090,-3
-734,-1521,21
-650,-1922,15
-471,-2376,-3
-423,-3042,17
-445,-3597,37
-428,-4062,49
-451,-4514,51
-582,-4847,36
-675,-5280,69
-503,-5738,60
-517,-6082,64
-545,-6536,74
-541,-7230,102
-393,-7651,44
-366,-7749,11
-225,-7886,-12
52,-8311,-90
-163,-8358,-19
-290,-8264,36
-322,-8385,44
-107,-8350,-116
-486,-8882,135
-386,-8825,37
-173,-8940,-167
-309,-8827,-5
-541,-8887,108
-937,-9313,429
-1165,-9233,493
-1054,-9467,491
-949,-9500,216
-251,-10104,-147
-295,-9783,-39
-77,-10250,-301
-72,-9866,-234
2,-10100,-359
-51,-10250,-371
83,-10194,-546
287,-10530,-749
57,-10469,-423
-56,-10500,-358
-228,-10428,-262
-361,-10133,-59
-439,-9955,34
-430,-10354,-28
-599,-10787,178
-770,-10773,98
-752,-10868,-41
-832,-11293,101
-864,-11314,-167
-1085,-11140,-19
-1113,-11232,-261
-1108,-11270,-486
-1112,-11104,-467
-934,-10586,-348
-806,-10265,-70
-852,-9771,-39
-824,-8872,-269
-953,-8442,-391
-997,-8121,-398
-1001,-7425,-343
-944,-6750,-438
-984,-6485,-320
-780,-6188,-401
-820,-5879,-558
-741,-5619,-900
-740,-5404,-685
-671,-5019,-642
-596,-4699,-578
-527,-4652,-292
-447,-4586,-213
-231,-4344,-55
244,-3786,-1
1004,-1883,-33
628,-191,0
939,-16,76
1059,23,-68
1142,-8,-86
1038,18,-14
815,84,39
818,66,33
399,47,44
91,80,28
134,63,11
-353,122,5
-359,130,5
-354,129,10
-353,145,3
-385,126,8
-374,122,5
-396,121,19
-384,120,4
-353,109,8
-347,115,-8
-362,125,9
-365,134,21
-329,135,5
-342,131,7
-367,132,2
-354,131,6
-366,127,17
-363,131,8
-367,144,10
-385,134,5
-383,128,0
-400,118,1
-377,116,-3
-358,146,-5
-383,144,4
-392,132,4
-399,132,2
-386,125,-27
-392,134,-37
-393,134,-161
-376,129,-883
-386,126,-629
-359,122,-266
-383,137,-2
-377,132,6
-380,135,18
-376,134,95
-385,128,334
-367,130,1
-362,126,9
-384,137,1
-367,124,-10
-378,92,-138
-408,70,-354
-458,-46,-516
-504,-307,-584
-500,-387,-628
-508,-490,-617
-508,-487,-352
-516,-492,-97
-512,-581,-22
-473,-732,-30
-418,-1227,27
-402,-1868,35
-319,-2622,50
-344,-3015,127
-361,-3617,552
-419,-4099,538
-472,-4118,630
-443,-4581,831
-455,-4899,543
-359,-5064,510
-382,-5188,587
-334,-5319,570
-333,-5504,804
-324,-5649,809
-336,-5636,703
-361,-5565,624
-310,-5635,587
-378,-5835,414
-462,-5920,171
-479,-6110,209
-461,-6300,285
-498,-6476,308
-512,-6719,339
-404,-6796,311
-379,-6710,148
-414,-6598,68
-374,-6626,166
-345,-6652,311
-325,-6747,350
-409,-6953,250
-489,-6991,107
-482,-6675,43
-452,-6223,25
-341,-5912,75
-349,-5543,-18
-512,-5305,-61
-693,-5148,-257
-715,-5086,-438
-564,-5236,-294
-481,-5477,-76
-404,-5853,-95
-540,-6188,-334
-658,-6525,-523
-746,-6614,-497
-742,-6469,-269
-607,-6324,-21
-577,-6305,37
-490,-6474,7
-554,-6541,39
-248,-6452,137
-133,-6261,245
-271,-6250,53
-413,-6476,-68
-440,-6528,-54
-375,-6385,-73
-248,-6208,-35
-302,-6134,-120
-328,-5867,-187
-289,-5543,-109
-152,-5318,20
-187,-4970,58
-456,-4693,-98
-413,-4808,-88
-421,-4886,-119
-294,-4712,-149
-347,-4769,-194
-357,-5014,-201
-547,-4984,-299
-834,-4890,-230
-648,-4959,-103
-600,-5002,-55
-733,-5082,-113
-684,-5287,-85
-727,-5458,-115
-893,-5726,-179
-415,-5355,32
-614,-5472,-29
-324,-5428,110
-347,-5186,88
-551,-5038,4
-642,-5208,-21
-466,-5057,65
-434,-4469,35
-283,-4509,106
25,-4540,191
469,-4712,313
334,-4556,258
158,-4493,179
-256,-4394,57
-208,-4461,104
-12,-4364,125
-150,-4128,97
-160,-4031,95
-326,-3981,51
-711,-3944,-15
-852,-3796,-25
-660,-3585,8
-671,-3382,4
-568,-3347,24
-630,-3282,23
-582,-3091,31
-767,-3000,17
-1073,-2881,-29
-874,-2754,-6
-675,-2799,23
-508,-2835,44
-389,-2873,58
-455,-2990,43
-580,-3240,39
-417,-3561,42
-438,-3566,29
-586,-3545,63
-481,-3379,55
-417,-3300,61
-338,-2948,84
-269,-2710,57
-405,-2321,41
-454,-1998,34
-417,-1637,29
-336,-1399,15
-204,-1261,48
-152,-1008,33
-163,-702,17
-193,-467,-3
-203,-111,-3
-316,64,11
-265,155,0
-257,261,15
-192,350,11
-275,452,22
-308,611,19
-257,637,20
-373,647,19
-395,617,16
-383,647,14
-393,671,13
-389,687,15
-404,719,27
-396,727,10
-389,726,24
-385,807,5
-400,880,8
-389,894,10
-382,881,4
-385,826,14
-398,773,20
-404,713,31
-397,668,24
-399,658,9
-402,549,28
-378,388,22
-360,323,17
-390,335,16
-396,312,18
-381,304,29
-384,287,19
-388,257,29
-369,279,15
-383,363,24
-392,446,34
-402,421,38
-387,320,18
-391,143,24
-385,39,26
-372,-51,26
-385,-108,24
-209,-185,15
-101,-214,32
-94,-95,16
-304,39,30
-324,108,25
-266,207,16
-357,354,28
-415,483,24
-388,629,25
-388,777,16
-392,874,28
-329,1000,-27
-369,901,29
-409,979,13
-469,1137,10
-500,1257,11
-588,1441,-6
-681,1878,7
-499,2192,14
-499,2451,-9
-279,2643,-6
-260,2715,-8
-377,2835,-16
-238,3118,-11
-313,3305,-9
-402,3486,-21
-404,3705,-24
-468,3881,-31
-764,4074,-49
-808,4242,-66
-941,4334,-92
-891,4535,-87
-548,4646,-42
-559,4757,-61
-408,4839,-35
-159,4999,-3
-238,5132,-14
-274,5250,-9
-289,5438,-30
-266,5606,-12
-112,5737,23
-291,5744,-13
-26,5925,62
129,6055,122
495,6203,232
615,6368,294
602,6526,286
588,6769,319
510,7000,298
321,7247,228
48,7261,142
-344,7047,-38
-463,7093,-96
-492,6939,-93
-678,6813,-216
-792,6616,-288
-587,6322,-170
-469,6361,-133
-423,6628,-22
-452,6986,62
-575,6967,-38
-818,6908,-190
-866,6831,-334
-696,6951,-366
-596,7320,-297
-429,7668,-140
-312,7977,-68
-343,8173,-177
-628,8364,-399
-795,8674,-539
-610,8922,-334
-440,8784,-301
-492,8644,-461
-541,8551,-666
-816,8554,-851
-788,8554,-841
-734,8277,-754
-796,8081,-803
-836,7870,-931
-882,7578,-899
-686,7292,-787
-574,6845,-557
-534,6235,-547
-464,5826,-492
-317,5454,-233
-165,4981,-102
-163,4992,-360
-375,5110,-585
-524,5294,-490
-465,5621,-285
-398,5520,-87
-396,5310,-170
-432,5015,-318
-311,4775,-98
-164,4388,-4
-297,4214,-166
-312,3891,-121
-337,3455,-248
-574,3242,-629
-511,3270,-499
-449,3336,-412
-488,3356,-518
-701,3573,-863
-764,3434,-829
-693,3095,-647
-645,2808,-539
-437,2487,-270
-328,2411,-127
-312,1761,-138
-312,406,-116
-435,-345,-193
-334,-846,-213
-370,-435,-444
-476,135,-540
-521,320,-546
-558,349,-622
-696,441,-817
-660,459,-682
-711,815,-665
-614,993,-562
-619,1540,-500
-561,1739,-357
-545,1824,-134
-458,2006,153
-392,1791,229
-468,1451,17
-565,1587,-208
-698,1878,-654
-779,2022,-1000
-683,2151,-832
-541,2315,-392
-251,1620,182
-270,993,407
-355,41,308
-426,187,199
-363,138,395
-500,503,-136
-560,468,-663
-420,341,-259
-207,-132,8
-57,-834,125
-88,-1305,60
-157,-1394,223
-129,-1416,330
-117,-1651,352
-168,-1999,304
-218,-1924,177
-389,-1137,-118
-498,-383,-44
-540,125,-223
-662,906,-377
-699,1559,-359
-557,1655,-95
-486,1587,69
-425,1354,-158
-444,522,-372
-370,-133,-112
-336,-616,62
-404,-648,-6
-452,-531,-109
-575,29,-456
-587,462,-655
-587,1032,-778
-472,1054,-340
-525,1098,-297
-497,1262,-121
-480,1461,-47
-492,1844,-23
-451,2563,134
-513,3741,256
-490,4435,293
-360,5105,818
-424,5763,704
-509,5600,645
-532,5039,1032
-460,3773,1204
-330,2782,1502
-288,1866,1753
-359,1226,1548
-379,1153,1358
-350,1037,1166
-288,1184,390
-356,1403,0
-418,1697,-30
-494,2333,5
-508,2092,228
-497,1561,659
-453,1220,780
-419,1113,517
-371,1010,568
-318,1502,984
-375,1820,1083
-415,2169,910
-467,2770,729
-400,2760,716
-370,2672,987
-330,2756,767
-188,597,1556
-368,164,289
-394,135,51
-390,137,4
-388,137,3
-393,137,14
-414,139,5
-392,153,10
-386,151,21
-375,140,-7
-371,137,14
-385,146,9
-349,142,17
-357,151,18
-351,143,13
-354,162,6
-341,147,-45
-350,144,-77
-371,150,-214
-397,144,-200
-436,138,-87
-430,143,8
-461,168,10
-547,179,1
-513,162,17
-456,163,12
-345,120,18
-420,136,7
-406,142,17
-392,140,20
-389,140,13
-378,139,13
-386,131,17
-383,136,20
-379,143,14
-386,131,9
-352,126,10
-352,136,10
-347,112,14
-345,135,14
-417,139,26
-416,151,30
-405,142,27
